field,angle,ik,ikprime,qx,qy,qz,t2_raw,t2_smoothed
2.0,0,13,3,0.32445591077105884,0.22895242018468848,2.4448453202310892e-17,5.521548415527017e-05,5.521548415527017e-05
2.0,0,13,4,0.3605065675233987,0.20813856380426224,2.156865190553255e-17,4.453689684784936e-05,4.4536896847849365e-05
2.0,0,13,5,0.288405254018719,-0.20813856380426232,-2.8075076861558344e-17,1.9278308992803814e-05,1.9278308992803814e-05
2.0,0,13,6,0.3244559107710589,-0.22895242018468864,-3.095487815833668e-17,5.177025203300332e-05,5.177025203300332e-05
2.0,0,13,7,0.3244559107710589,-0.1873247074238361,-2.591821167100508e-17,5.771309576598233e-22,5.771309576598233e-22
2.0,0,13,8,0.3605065675233987,-0.20813856380426232,-2.879801296778342e-17,5.0924843325453973e-05,5.0924843325453973e-05
2.0,0,13,9,0.3605065675233987,-0.1665108510434099,-2.376134648045183e-17,8.093722183288184e-05,8.093722183288184e-05
2.0,0,13,10,-0.03605065675233998,-0.02081385638042621,-2.1568651905532573e-18,0.47838879415933394,0.47838879415933394
2.0,0,13,11,0.0,-0.04162771276085253,-5.0366664873316016e-18,0.4646654728363679,0.4646654728363679
2.0,0,13,12,-0.03605065675233998,0.02081385638042632,2.8798012967783505e-18,0.48408070689546384,0.48408070689546384
2.0,0,13,13,0.0,0.0,0.0,0.7399256213616997,0.7399256213616998
2.0,0,13,14,0.0,0.04162771276085242,5.036666487331589e-18,0.47064632606908097,0.47064632606908097
2.0,0,14,0,0.28840525401871897,0.16651085104340985,1.7254921524426052e-17,1.4668869790037586e-05,1.4668869790037587e-05
2.0,0,14,1,0.32445591077105884,0.14569699466298364,1.4375120227647708e-17,1.8489459924585015e-05,1.8489459924585018e-05
2.0,0,14,2,0.3605065675233987,0.1248831382825574,1.1495318930869366e-17,4.9005047390727616e-05,4.900504739072762e-05
2.0,0,14,3,0.32445591077105884,0.18732470742383606,1.9411786714979303e-17,3.3268259434117797e-22,3.3268259434117797e-22
2.0,0,14,4,0.3605065675233987,0.16651085104340982,1.6531985418200962e-17,7.282118253462905e-05,7.282118253462905e-05
2.0,0,14,5,0.288405254018719,-0.24976627656511474,-3.311174334888993e-17,0.00010756558768966781,0.00010756558768966782
2.0,0,14,6,0.3244559107710589,-0.27058013294554106,-3.599154464566827e-17,6.627474952179373e-05,6.627474952179375e-05
2.0,0,14,7,0.3244559107710589,-0.22895242018468853,-3.095487815833667e-17,0.00010868089882960742,0.00010868089882960742
2.0,0,14,8,0.3605065675233987,-0.24976627656511474,-3.383467945511501e-17,0.00017572826188162925,0.00017572826188162925
2.0,0,14,9,0.3605065675233987,-0.20813856380426232,-2.879801296778342e-17,8.316188980741448e-05,8.316188980741448e-05
2.0,0,14,10,-0.03605065675233998,-0.06244156914127863,-7.193531677884846e-18,0.17816934456059016,0.17816934456059016
2.0,0,14,11,0.0,-0.08325542552170495,-1.0073332974663191e-17,0.09843068341805758,0.0984306834180576
2.0,0,14,12,-0.03605065675233998,-0.0208138563804261,-2.1568651905532388e-18,0.47286095676461415,0.4728609567646142
2.0,0,14,13,0.0,-0.04162771276085242,-5.036666487331589e-18,0.47064632606908097,0.47064632606908097
2.0,0,14,14,0.0,0.0,0.0,0.7002889173939991,0.7002889173939991
2.0,1,0,0,0.0,0.0,0.0,0.660103981118705,0.660103981118705
2.0,1,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,0.4646639287270683,0.46466392872706835
2.0,1,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,0.10714313772384083,0.10714313772384083
2.0,1,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,0.43066953960170573,0.43066953960170573
2.0,1,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,0.17870759457217858,0.17870759457217858
