field,angle,mode,sigma,rho,delta_rho_over_rho0
1.0,40,smoothed,0.18472907518553214,5.4133330067053755,0.2703801905826573
1.0,41,smoothed,0.1825174810132272,5.478927248220838,0.2857735951513989
1.0,42,smoothed,0.1825952721208909,5.47659305952856,0.285225816717654
1.0,43,smoothed,0.18439650916357916,5.423096155865372,0.27267136891497135
1.0,44,smoothed,0.18623735605309025,5.369492035287122,0.26009175985861677
1.0,45,smoothed,0.18710676893426878,5.344542079882227,0.2542366001884029
1.0,46,smoothed,0.1896367682710829,5.273238987971547,0.23750346454379723
1.0,47,smoothed,0.19087650718917876,5.238989411142643,0.22946590544935686
1.0,48,smoothed,0.19075713840780156,5.2422677774825654,0.23023525986567517
1.0,49,smoothed,0.1917243272470302,5.215822187820403,0.22402911049458085
1.0,50,smoothed,0.19475809034054226,5.134574888526892,0.20496230646959912
1.0,51,smoothed,0.19980092261156132,5.004981893622826,0.1745499203554477
1.0,52,smoothed,0.2079568714399585,4.808689383888528,0.12848474837779156
1.0,53,smoothed,0.21632818838410298,4.62260608508607,0.08481543479518039
1.0,54,smoothed,0.222402801045222,4.496346247890404,0.05518526132517887
1.0,55,smoothed,0.2283536931117988,4.379171566585586,0.027687157332113577
1.0,56,smoothed,0.23506670538959226,4.254111607778018,-0.0016614332880134919
1.0,57,smoothed,0.24091390467081109,4.1508604551755415,-0.025892017063025685
1.0,58,smoothed,0.2432301468371569,4.111332468460425,-0.03516829310854097
1.0,59,smoothed,0.24290136559562542,4.116897398035912,-0.03386233681767015
2.0,0,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,1,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,2,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,3,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,4,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,5,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,6,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,7,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,8,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,9,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,10,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,11,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,12,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,13,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,14,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,15,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,16,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,17,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,18,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,19,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,20,raw,0.25487463761086293,3.9234974863476935,0.0
2.0,21,raw,0.24515551423651466,4.079043472117239,0.039644726754837434
2.0,22,raw,0.2533507950364761,3.947096356480844,0.006014753473212675
2.0,23,raw,0.19803784139295627,5.049539991782437,0.2869996755071085
2.0,24,raw,0.19361008617499723,5.165020168918967,0.31643264380601965
2.0,25,raw,0.19611366525659538,5.099083731322846,0.2996271181683572
2.0,26,raw,0.19811732527418843,5.047514136464492,0.2864833363670951
