field,temperature,angle,mode,ik,kx,ky,energy,vx_archived,surface_weight,inverse_tau,tau,sigma_term,inverse_tau_error
0.5,4.0,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.8225429199169092,0.5486839234741262,0.0044262952383113995,0.14544904200915687
0.5,4.0,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,2.024324211175987,0.4939920169304658,0.0011487027614023278,0.20869135926931073
0.5,4.0,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.9453103782956918,0.5140567855686409,0.007283172197970467,0.18117972752768288
0.5,4.0,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,2.0875149496017356,0.4790384855403234,1.232382826916084e-07,0.298759919794055
0.5,4.0,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,2.465895636071316,0.40553216663832853,0.01392413935486411,0.6186353323415714
0.5,4.0,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,2.4527696820655196,0.40770236492726164,5.2144872375094696e-05,0.633682727369877
0.5,4.0,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,2.585350285569038,0.38679478196119915,0.014349058547022847,0.551762678008521
0.5,4.0,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,2.438704568228903,0.4100537691313077,0.0045241033419393326,0.5857564996842831
0.5,4.0,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,2.4478146110677708,0.40852767014238306,1.4546325273514733e-05,0.44796057228925723
1.0,0.5,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.206693014824442,0.45316679451199376,1.1978912766666413e-05,0.4667241153302131
1.0,0.5,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.008350314767645,0.49792110103843834,0.0007245382941646368,0.40458825575589463
1.0,0.5,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.180778226054626,0.4585519004420541,3.9335706494437295e-05,0.4314406828380333
1.0,0.5,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.1970062070629908,0.4551648496873495,0.0034441832336594602,0.457155425728538
1.0,0.5,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.359263834255718,0.42386103049618107,0.005507161386692828,0.4976937871746949
1.0,0.5,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,1.9984455650206425,0.5003889110132809,2.777454702446288e-06,0.4060798960570001
1.0,0.5,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.6417173442020614,0.6091182526222496,0.004913825803532155,0.23659585451133372
1.0,0.5,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,1.9896972224326874,0.5025890314996561,0.001168693801817936,0.4144264458031845
1.0,0.5,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.7858431333382307,0.5599595963004464,0.007933524618784774,0.3646027884763441
1.0,0.5,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,2.2999207324077866,0.4347975936340642,1.1185679308723395e-07,0.5337053566386589
1.0,0.5,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,1.958982649126691,0.5104690439426798,0.017527196826635977,0.51282342173341
1.0,0.5,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,1.889095364705772,0.529353900646382,6.770402618436816e-05,0.48323591962879975
1.0,0.5,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,1.6854001581645077,0.5933309043290077,0.022010999840295125,0.35118938823572066
1.0,0.5,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,1.494091960415281,0.6693028451354837,0.007384385820575931,0.3992286021370591
1.0,0.5,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,1.5818300032595698,0.6321791835654703,2.2509819303263577e-05,0.31893468930275154
1.0,4.0,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,1.8965576225292167,0.5272710874275558,1.3937769574405267e-05,0.3166061285449986
1.0,4.0,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,1.950461343117036,0.5126992152543245,0.0007460423229005503,0.39783423641803894
1.0,4.0,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.3360844163896166,0.42806672266813245,3.6720613188336696e-05,0.6654003401650216
1.0,4.0,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.073010467625646,0.4823902317991502,0.003650194758195781,0.44369483463259773
1.0,4.0,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.3610833640645175,0.42353438900968626,0.005502917383936523,0.7208425464864031
1.0,4.0,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,1.9656865767523157,0.5087281013294542,2.8237421457698183e-06,0.39107265903575383
1.0,4.0,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.8220896228572567,0.5488204243388858,0.004427396406218571,0.36964076032196924
1.0,4.0,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,1.8717618238657465,0.5342560080292169,0.0012423305047160917,0.3085209428337764
1.0,4.0,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.7684407667583122,0.5654698866918098,0.00801159458091304,0.24002091109516743
1.0,4.0,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,1.8200304918543253,0.5494413442387753,1.4135024585212747e-07,0.25327686118668824
1.0,4.0,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,2.3436198142316504,0.4266903675790296,0.014650616223120248,0.5862986949378673
1.0,4.0,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,2.1949878350385843,0.4555833905031285,5.8268824999916166e-05,0.40606966818504
1.0,4.0,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,2.38237538854286,0.4197491313959692,0.015571577338566418,0.5864874802497329
1.0,4.0,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,2.1079380090711104,0.47439725252673,0.005234001872753794,0.43879206971459456
1.0,4.0,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,2.194137420408749,0.45575996776615224,1.6228111881534078e-05,0.4926337035525271
2.0,0.5,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.547295977460732,0.39257314770184204,1.0377193447988947e-05,0.5074583957028267
2.0,0.5,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.3700484034603977,0.4219323109772553,0.0006139649759988858,0.45308762039894557
2.0,0.5,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.620780866276557,0.3815656672664655,3.2731638624719807e-05,0.6077742206651378
